time_ms,raw
5274,496
5374,496
5475,496
5575,496
5676,496
5776,496
5876,496
5978,496
6078,497
6178,497
6279,495
6379,496
6479,496
6580,497
6680,496
6781,495
6882,496
6982,496
7083,497
7183,496
7283,496
7384,496
7484,497
7585,496
7686,496
7786,495
7886,496
7987,496
8087,496
8187,495
8288,496
8389,496
8489,496
8590,496
8690,496
8791,496
8891,495
8991,496
9092,496
9193,497
9293,496
9394,496
9494,497
9594,496
9695,496
9795,497
9895,496
9997,497
10097,498
10198,500
10298,504
10398,502
10499,502
10600,505
10700,502
10801,503
10901,503
11001,503
11102,501
11203,501
11303,500
11404,501
11504,501
11604,501
11705,500
11806,502
11907,501
12007,500
12107,501
12208,501
12308,500
12409,499
12510,500
12610,500
12710,501
12811,503
12911,501
13012,501
13113,502
13213,501
13314,500
13414,500
13514,500
13616,500
13716,500
13816,499
13917,497
14017,496
14117,495
14219,496
14319,496
14419,496
14520,496
14620,495
14721,497
14822,496
14922,496
15023,496
15123,497
15223,497
15324,497
15425,496
15525,497
15626,497
15726,498
15826,498
15927,498
16028,498
16129,499
16229,500
16329,500
16430,503
16530,501
16631,502
16732,500
16832,500
16932,501
17033,499
17133,499
17234,499
17335,500
17435,499
17536,496
17636,496
17736,496
17838,496
17938,496
18038,496
18139,496
18239,496
18339,496
18441,496
18541,496
18641,496
18742,496
18842,496
18944,496
19044,496
19144,496
19245,496
19345,496
19445,495
19547,496
19647,495
19747,496
19848,496
19948,496
20048,496
20150,496
20250,496
20350,496
20451,496
20551,496
20652,496
20753,496
20853,495
20954,496
21054,496
21154,496
21255,496
21356,496
21456,495
21557,496
21657,496
21757,496
21858,496
21959,496
22060,496
22160,496
22260,496
22361,496
22461,496
22562,496
22663,496
22763,495
22863,496
22964,496
23064,496
23165,496
23266,496
23366,496
23467,495
23567,495
23667,496
23769,501
23869,511
23969,537
24070,550
24170,550
24270,560
24372,594
24472,611
24572,647
24673,668
24773,675
24873,696
24975,720
25075,743
25176,788
25276,866
25376,874
25477,876
25578,877
25678,879
25779,879
25879,817
25979,556
26080,498
26181,495
26281,496
26382,496
26482,496
26583,496
26684,496
26784,496
26885,496
26985,496
27085,496
27186,497
27287,495
27387,496
27488,496
27588,496
27688,496
27789,496
27890,496
27991,496
28091,496
28191,496
28292,496
28392,496
28493,496
28594,496
28694,495
28794,495
28895,495
28995,495
29096,495
29197,495
29297,496
29398,496
29498,495
29598,496
29700,496
29800,495
29900,495
30001,497
30101,495
30201,495
30303,495
30403,496
30503,496
30604,496
30704,495
30804,495
30906,496
31006,495
31107,496
31207,496
31307,496
31408,496
31509,496
31609,495
31710,496
31810,495
31910,495
32011,495
32112,496
32212,495
32313,496
32413,495
32514,495
32614,496
32715,496
32816,496
32916,496
33016,495
33117,496
33217,496
33318,496
33419,495
33519,496
33619,495
33720,496
33820,495
33922,495
34022,496
34122,496
34223,496
34323,496
34423,496
34525,496
34625,495
34725,496
34826,496
34926,495
35027,495
35128,495
35228,496
35329,495
35429,496
35529,496
35631,495
35731,495
35831,495
35932,496
36032,496
36132,495
36234,495
36334,496
36434,496
36535,496
36635,496
36736,496
36837,496
36937,496
