radial_step,angle_deg,gx,gy,gz,bmag
0,0.00,4.241000,-4.405000,0.037000,6.114857
0,1.64,4.247000,-4.408000,0.035000,6.121168
0,3.27,4.248000,-4.408000,0.044000,6.121920
0,4.91,4.244000,-4.404000,0.041000,6.116243
0,6.55,4.241000,-4.406000,0.040000,6.115596
0,8.18,4.235000,-4.407000,0.031000,6.112106
0,9.82,4.241000,-4.405000,0.037000,6.114857
0,11.45,4.247000,-4.408000,0.035000,6.121168
0,13.09,4.248000,-4.408000,0.044000,6.121920
0,14.73,4.244000,-4.404000,0.041000,6.116243
0,16.36,4.241000,-4.406000,0.040000,6.115596
0,18.00,4.235000,-4.407000,0.031000,6.112106
0,19.64,4.241000,-4.405000,0.037000,6.114857
0,21.27,4.245000,-4.404000,0.031000,6.116878
0,22.91,4.241000,-4.406000,0.032000,6.115549
0,24.55,4.240000,-4.411000,0.027000,6.118435
0,26.18,4.240000,-4.409000,0.033000,6.117023
0,27.82,4.238000,-4.408000,0.037000,6.114939
0,29.45,4.237000,-4.405000,0.035000,6.112072
0,31.09,4.236000,-4.412000,0.033000,6.116415
0,32.73,4.240000,-4.407000,0.035000,6.115593
0,34.36,4.245000,-4.399000,0.033000,6.113290
0,36.00,4.245000,-4.410000,0.029000,6.121190
0,37.64,4.236000,-4.402000,0.048000,6.109305
0,39.27,4.242000,-4.399000,0.044000,6.111277
0,40.91,4.240000,-4.403000,0.033000,6.112700
0,42.55,4.242000,-4.408000,0.039000,6.117724
0,44.18,4.238000,-4.406000,0.030000,6.113459
0,45.82,4.247000,-4.402000,0.048000,6.116937
0,47.45,4.241000,-4.411000,0.029000,6.119137
0,49.09,4.244000,-4.406000,0.033000,6.117635
0,50.73,4.244000,-4.412000,0.031000,6.121947
0,52.36,4.239000,-4.406000,0.031000,6.114157
0,54.00,4.244000,-4.401000,0.032000,6.114030
0,55.64,4.241000,-4.408000,0.034000,6.117001
0,57.27,4.242000,-4.408000,0.044000,6.117758
0,58.91,4.239000,-4.407000,0.036000,6.114905
0,60.55,4.247000,-4.409000,0.037000,6.121900
0,62.18,4.241000,-4.405000,0.033000,6.114834
0,63.82,4.244000,-4.405000,0.033000,6.116915
0,65.45,4.243000,-4.406000,0.035000,6.116953
0,67.09,4.244000,-4.410000,0.038000,6.120546
0,68.73,4.243000,-4.403000,0.034000,6.114787
0,70.36,4.230000,-4.387000,-0.018000,6.094177
0,72.00,4.379000,-4.495000,0.047000,6.275578
0,73.64,4.715000,-4.417000,-0.055000,6.460970
0,75.27,4.880000,-4.376000,-0.113000,6.555650
0,76.91,4.880000,-4.325000,-0.154000,6.522556
0,78.55,4.896000,-4.327000,-0.159000,6.535979
0,80.18,5.266000,-4.284000,-0.232000,6.792440
0,81.82,5.854000,-4.158000,-0.351000,7.188983
0,83.45,6.349000,-4.017000,-0.466000,7.527499
0,85.09,6.603000,-3.941000,-0.549000,7.709247
0,86.73,6.874000,-3.858000,-0.609000,7.906132
0,88.36,7.264000,-3.734000,-0.710000,8.198326
0,90.00,7.565000,-3.623000,-0.776000,8.423629
0,91.64,7.916000,-3.487000,-0.877000,8.694329
0,93.27,8.197000,-3.374000,-0.945000,8.914466
0,94.91,8.455000,-3.256000,-1.023000,9.117845
0,96.55,8.795000,-3.086000,-1.098000,9.385149
0,98.18,9.031000,-2.982000,-1.157000,9.580706
0,99.82,9.311000,-2.817000,-1.221000,9.804134
0,101.45,9.525000,-2.694000,-1.277000,9.980681
0,103.09,9.747000,-2.559000,-1.349000,10.167216
0,104.73,10.022000,-2.392000,-1.404000,10.398719
0,106.36,10.282000,-2.198000,-1.492000,10.619642
0,108.00,10.476000,-2.051000,-1.538000,10.785111
0,109.64,10.722000,-1.832000,-1.614000,10.996477
0,111.27,10.906000,-1.669000,-1.659000,11.157001
0,112.91,11.136000,-1.431000,-1.731000,11.360221
0,114.55,11.351000,-1.186000,-1.806000,11.554801
0,116.18,11.514000,-0.984000,-1.845000,11.702328
0,117.82,11.693000,-0.741000,-1.905000,11.870314
0,119.45,11.857000,-0.490000,-1.939000,12.024486
0,121.09,11.975000,-0.262000,-1.997000,12.143199
0,122.73,12.105000,-0.009000,-2.018000,12.272059
0,124.36,12.199000,0.195000,-2.059000,12.373080
0,126.00,12.305000,0.476000,-2.104000,12.492655
0,127.64,12.356000,0.687000,-2.131000,12.557224
0,129.27,12.425000,0.970000,-2.153000,12.647408
0,130.91,12.467000,1.181000,-2.166000,12.708753
0,132.55,12.489000,1.402000,-2.195000,12.757694
0,134.18,12.517000,1.681000,-2.200000,12.819557
0,135.82,12.509000,1.886000,-2.205000,12.841110
0,137.45,12.488000,2.155000,-2.204000,12.862806
0,139.09,12.454000,2.361000,-2.239000,12.872046
0,140.73,12.402000,2.658000,-2.213000,12.875245
0,142.36,12.328000,2.869000,-2.274000,12.860086
0,144.00,12.256000,3.088000,-2.225000,12.833390
0,145.64,12.143000,3.348000,-2.166000,12.780967
0,147.27,12.041000,3.558000,-2.230000,12.752174
0,148.91,11.885000,3.823000,-2.130000,12.665127
0,150.55,11.752000,4.030000,-2.093000,12.598851
0,152.18,11.606000,4.223000,-2.054000,12.520059
0,153.82,11.408000,4.449000,-2.035000,12.412787
0,155.45,11.244000,4.651000,-1.986000,12.328971
0,157.09,10.995000,4.868000,-1.943000,12.180423
