time_s,gx,gy,gz,bmag
0.183,-2.829000,-0.266000,0.281000,2.855339
0.183,-2.818000,-0.257000,0.272000,2.842738
0.183,-2.825000,-0.256000,0.266000,2.849020
0.183,-2.830000,-0.260000,0.271000,2.854810
0.183,-2.826000,-0.258000,0.279000,2.851435
0.183,-2.822000,-0.262000,0.279000,2.847836
0.183,-2.829000,-0.266000,0.281000,2.855339
0.183,-2.818000,-0.257000,0.272000,2.842738
0.183,-2.825000,-0.256000,0.266000,2.849020
0.183,-2.821000,-0.260000,0.275000,2.846272
0.183,-2.828000,-0.264000,0.271000,2.853195
0.183,-2.817000,-0.260000,0.286000,2.843393
0.183,-2.824000,-0.254000,0.285000,2.849687
0.183,-2.825000,-0.258000,0.268000,2.849388
0.184,-2.822000,-0.258000,0.282000,2.847766
0.184,-2.827000,-0.267000,0.268000,2.852200
0.184,-2.828000,-0.262000,0.276000,2.853490
0.184,-2.819000,-0.251000,0.273000,2.843289
0.184,-2.832000,-0.270000,0.277000,2.858295
0.184,-2.826000,-0.261000,0.278000,2.851610
0.184,-2.823000,-0.257000,0.281000,2.848568
0.320,-2.818000,-0.264000,0.266000,2.842811
0.321,-2.822000,-0.264000,0.276000,2.847728
0.384,-2.825000,-0.265000,0.272000,2.850409
0.396,-2.829000,-0.269000,0.281000,2.855620
0.485,-2.835000,-0.258000,0.281000,2.860551
0.502,-2.827000,-0.265000,0.266000,2.851826
0.585,-2.822000,-0.261000,0.280000,2.847842
0.684,-2.830000,-0.268000,0.280000,2.856418
0.684,-2.819000,-0.255000,0.282000,2.844523
0.784,-2.824000,-0.259000,0.277000,2.849348
0.784,-2.823000,-0.261000,0.272000,2.848058
0.884,-2.828000,-0.256000,0.278000,2.853139
0.885,-2.821000,-0.265000,0.284000,2.847617
0.984,-2.821000,-0.255000,0.279000,2.846209
0.985,-2.823000,-0.267000,0.273000,2.848710
1.084,-2.826000,-0.264000,0.270000,2.851118
1.088,-2.823000,-0.264000,0.281000,2.849208
1.184,-2.820000,-0.267000,0.280000,2.846417
1.195,-2.829000,-0.263000,0.280000,2.854962
1.284,-2.820000,-0.262000,0.273000,2.845272
1.305,-2.824000,-0.259000,0.274000,2.849058
1.384,-2.824000,-0.266000,0.267000,2.849039
1.484,-2.825000,-0.259000,0.267000,2.849385
1.484,-2.820000,-0.260000,0.283000,2.846066
1.585,-2.822000,-0.264000,0.276000,2.847728
1.585,-2.825000,-0.259000,0.276000,2.850242
1.684,-2.823000,-0.263000,0.276000,2.848627
1.685,-2.817000,-0.268000,0.282000,2.843736
1.784,-2.822000,-0.265000,0.276000,2.847821
1.785,-2.825000,-0.262000,0.271000,2.850037
1.884,-2.822000,-0.259000,0.274000,2.847076
1.891,-2.825000,-0.265000,0.270000,2.850219
1.985,-2.821000,-0.264000,0.269000,2.846067
1.997,-2.822000,-0.264000,0.276000,2.847728
2.085,-2.824000,-0.251000,0.281000,2.849024
2.104,-2.827000,-0.269000,0.271000,2.852671
2.185,-2.820000,-0.259000,0.274000,2.845093
2.284,-2.825000,-0.263000,0.277000,2.850706
2.284,-2.825000,-0.264000,0.270000,2.850126
2.385,-2.829000,-0.252000,0.274000,2.853388
2.385,-2.823000,-0.262000,0.274000,2.848341
2.485,-2.826000,-0.260000,0.280000,2.851715
2.485,-2.829000,-0.255000,0.271000,2.853368
2.585,-2.822000,-0.259000,0.278000,2.847464
2.585,-2.830000,-0.268000,0.282000,2.856615
2.685,-2.829000,-0.259000,0.272000,2.853823
2.690,-2.827000,-0.252000,0.269000,2.850929
2.784,-2.821000,-0.250000,0.277000,2.845570
2.796,-2.823000,-0.260000,0.283000,2.849038
2.885,-2.822000,-0.258000,0.279000,2.847471
2.907,-2.821000,-0.264000,0.274000,2.846544
2.985,-2.831000,-0.263000,0.273000,2.856267
3.084,-2.822000,-0.260000,0.277000,2.847457
3.084,-2.825000,-0.266000,0.281000,2.851375
3.184,-2.821000,-0.256000,0.281000,2.846496
3.184,-2.821000,-0.255000,0.280000,2.846307
3.285,-2.828000,-0.266000,0.280000,2.854249
3.285,-2.822000,-0.255000,0.272000,2.846523
3.384,-2.825000,-0.266000,0.265000,2.849843
3.386,-2.823000,-0.258000,0.281000,2.848658
3.484,-2.824000,-0.262000,0.271000,2.849046
3.492,-2.822000,-0.253000,0.272000,2.846344
3.585,-2.834000,-0.260000,0.285000,2.860137
